item_id:token,title:token,sales_type:token,sales_rank:float,categories:token_seq,price:float,brand:token,interaction_count,pop_score,popularity_label
511,"Dermablend Loose Setting Powder Original, 1 Ounce",Beauty,820842.0,"'Beauty', 'Makeup', 'Face', 'Powder'",21.25,Dermablend,21805,0.003863615866039109,1
621,"Palladio Herbal Dual Wet and Dry Foundation, Ivory Myrrh, 0.28 Ounce",,,"'Beauty', 'Makeup', 'Face', 'Foundation'",4.95,Palladio,18773,0.003326377466322045,1
297,Facial Toner &amp; Freshener-Aloe Vera Earth Science 8 oz Liquid,Beauty,25435.0,"'Beauty', 'Skin Care', 'Face', 'Toners & Astringents'",9.63,Earth Science,17885,0.0031690332384365725,1
43,"Cetaphil Moisturizing Cream, Fragrance Free - 16 oz",,,"'Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Lotions'",17.5,Cetaphil,16883,0.002991489413727965,1
38,Alpha Hydrox AHA Enhanced Cream 2 oz.,Beauty,4413.0,"'Beauty', 'Skin Care', 'Face', 'Treatments & Masks'",11.24,Alpha Hydrox,16517,0.002926638076558953,1
1013,"Diamonds and Rubies by Elizabeth Taylor for Women, Eau De Toilette Spray, 3.3-Ounce",Beauty,6986.0,"'Beauty', 'Fragrance', ""Women's"", 'Eau de Toilette'",12.3,Elizabeth Taylor,16005,0.0028359170803006623,1
1,WAWO 15 Color Professionl Makeup Eyeshadow Camouflage Facial Concealer Neutral Palette,Beauty,10486.0,"'Beauty', 'Makeup', 'Face', 'Concealers & Neutralizers'",5.04,COKA,15867,0.0028114649367779196,1
299,"Aubrey Organics - Natural Mist Herbal Hairspray (Regular Hold), 8 fl oz spray",Beauty,14265.0,"'Beauty', 'Hair Care', 'Styling Products', 'Hair Sprays'",8.49,Aubrey Organics,15691,0.0027802795943141323,1
339,Diamon Deb Nail File 8&quot;,Beauty,376921.0,"'Beauty', 'Tools & Accessories', 'Nail Tools', 'Nail Files & Buffers'",5.1,Diamon Deb,15253,0.002702670617046298,1
1025,Bvlgari Black By Bvlgari For Men and Women. Eau De Toilette Spray 2.5 Ounces,Beauty,38096.0,"'Beauty', 'Fragrance', ""Men's"", 'Eau de Toilette'",33.12,Bvlgari,14825,0.0026268335342366335,1
551,Quantum Classic Extra Body Acid Perm,Health & Personal Care,160929.0,"'Beauty', 'Hair Care', 'Hair Perms & Texturizers', 'Home Permanent Kits'",6.49,Zotos,14401,0.0025517052092102364,1
21,"Neutrogena T/Sal Shampoo, Scalp Build-up Control, 4.5 fl oz",Beauty,1844.0,"'Beauty', 'Hair Care', 'Shampoos'",8.5,Neutrogena,14259,0.0025265443079042263,1
619,"Fragrances Of Ireland Inis The Energy Of The Sea Cologne Spray, 1.7 Fluid Ounce",Beauty,373579.0,"'Beauty', 'Fragrance', ""Women's"", 'Cologne'",32.95,Fragrances of Ireland,14122,0.002502269353827301,1
120,"Palmer's Cocoa Butter Formula Massage Cream for Stretch Marks, 4.4 Ounce",Beauty,5945.0,"'Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Creams'",5.27,Palmer&#39;s,13993,0.002479411915316911,1
1102,Perry Ellis 360 White By Perry Ellis For Men. Eau De Toilette Spray 3.4 Ounces,Beauty,23649.0,"'Beauty', 'Fragrance', ""Men's"", 'Eau de Toilette'",22.78,Perry Ellis,13854,0.002454782582348352,1
230,Jobst It Stays Roll-on Body Adhesive 2 oz. (3 pack),Beauty,11136.0,"'Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Lotions'",22.96,Jobst,13729,0.0024326339016212304,1
2,Xtreme Brite Brightening Gel 1oz.,Beauty,52254.0,"'Beauty', 'Hair Care', 'Styling Products', 'Creams, Gels & Lotions'",19.99,Xtreme Brite,13573,0.0024049923480737824,1
108,"Mother's Special Blend All Natural Skin Toning Oil, 8-Ounce Bottle",Beauty,1952.0,"'Beauty', 'Skin Care', 'Face', 'Treatments & Masks', 'Masks'",13.93,Mountain Ocean,13448,0.0023828436673466605,1
303,AmeriLeather Leather Toiletry Bag,Clothing,4228.0,"'Beauty', 'Tools & Accessories', 'Bags & Cases', 'Toiletry Bags'",42.99,Amerileather,13133,0.0023270289919143142,1
1077,"Charlie White By Revlon For Women, Eau De Toilette Spray, 3.4 Ounces",Beauty,23023.0,"'Beauty', 'Fragrance', ""Women's"", 'Eau de Toilette'",9.25,Revlon,13095,0.002320295792973269,1
605,John Varvatos by John Varvatos for Men - 7 ml EDT Splash,Beauty,464725.0,"'Beauty', 'Fragrance', ""Men's"", 'Eau de Toilette'",,,13050,0.0023123222679115054,1
9,"Crabtree &amp; Evelyn 2792 Gardeners Hand Therapy (100ml, 3.4 oz)",Beauty,2750.0,"'Beauty', 'Skin Care', 'Hands & Nails', 'Hand Creams & Lotions'",18.19,Crabtree &amp; Evelyn,12916,0.0022885788821720306,1
183,"Revlon ColorStay Overtime Liquid Lipcolor, Keep Blushing",Beauty,104894.0,"'Beauty', 'Makeup', 'Lips', 'Lipstick'",8.99,Revlon,12845,0.002275998431519026,1
23,"Alberto VO5 Moisturizing Hot Oil Treatment, 0.5 Ounce, 2-Count Tubes (Pack of 6)",,,"'Beauty', 'Hair Care', 'Hair & Scalp Treatments'",26.59,Alberto VO5,12718,0.00225349537190027,1
100,"Jason Shampoo, Tea Tree, 17.5 Ounce",,,"'Beauty', 'Hair Care', 'Shampoos'",6.83,Jason Natural,12664,0.0022439271418261534,1
517,NAIL TEK Regular Size Crystal File with Free Blue Case,Beauty,529042.0,"'Beauty', 'Tools & Accessories', 'Nail Tools', 'Nail Files & Buffers'",12.25,Nail Tek,12289,0.0021774810996447883,1
55,"Neutrogena Norwegian Formula Hand Cream, Fragrance-Free (2 Ounce)",,,"'Beauty', 'Skin Care', 'Hands & Nails', 'Hand Creams & Lotions'",2.87,Neutrogena,12180,0.0021581674500507383,1
37,Fruit Of The Earth 100% Aloe Vera 6oz. Gel Tube,Beauty,2114.0,"'Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Oils'",6.03,Fruit of the Earth,12148,0.002152497387784595,1
1014,Realm by Erox for Men - 3.3 Ounce EDC Spray,Beauty,95989.0,"'Beauty', 'Fragrance', ""Men's"", 'Cologne'",29.95,Erox,12122,0.002147890462193354,1
509,NEW cnd Nail Design Stickey Base Coat 0.33Oz,Beauty,390860.0,"'Beauty', 'Makeup', 'Nails', 'Top & Base Coats'",6.85,Creative,11947,0.0021168823091753833,1
253,"Camille Beckman Glycerin Hand Therapy, White Lilac, 8 Ounce",Beauty,89784.0,"'Beauty', 'Skin Care', 'Hands & Nails', 'Hand Creams & Lotions'",17.08,Camille Beckman,11695,0.002072230568829506,1
508,Focus 21 Sea Plasma All Purpose Skin and Hair Moisturizing Spray 12 oz,Beauty,36874.0,"'Beauty', 'Hair Care', 'Styling Products', 'Hair Sprays'",10.01,Focus,11667,0.0020672692643466306,1
185,"Maybelline Great Lash Mascara, Very Black -.43 Fluid Ounce",Beauty,14072.0,"'Beauty', 'Makeup', 'Eyes', 'Mascara'",3.79,Maybelline,11617,0.0020584097920557823,1
41,Alpha Hydrox Oil Free Treatment 10 Percent AHA 1.7 fl oz.,Beauty,4183.0,"'Beauty', 'Skin Care', 'Face', 'Treatments & Masks'",11.67,Alpha Hydrox,11482,0.0020344892168704908,1
465,"Apricot Gentle Facial Scrub, 4 Ounce",Beauty,438261.0,"'Beauty', 'Skin Care', 'Face', 'Exfoliators & Scrubs', 'Scrubs'",5.91,Earth Science,11438,0.002026692881254544,1
