,mean,std
0,-2.3169985,0.7347209
1,-2.4546988,0.7625643
2,-1.8863732,0.67028314
3,-2.725464,0.93684214
4,-2.1036618,0.7246196
5,-2.3288996,0.7296815
6,-0.15091829,1.9641409
7,-1.5559645,0.56709146
8,-0.19192292,1.8992869
9,-2.2078044,0.7742407
10,-2.242245,0.6838557
11,-2.6448636,0.8283112
12,0.4760421,1.6001925
13,-0.37884802,1.5533217
14,-2.211831,0.6651979
15,0.038776368,1.683197
16,-1.6374915,0.5733575
17,-1.7877936,0.59219325
18,-2.2811131,0.6493255
19,-1.858516,0.65584326
20,-2.2530732,0.75260866
21,-2.2044525,0.69037074
22,-2.0603712,0.7003757
23,-2.1906912,0.7514871
24,0.17785591,1.8093442
25,0.04112668,1.9509301
26,-1.8686547,0.6604316
27,-2.049821,0.6759886
28,0.46495122,1.7985579
29,-2.3320873,0.725122
30,-2.2571566,0.7756117
31,-2.2562106,0.7009112
32,-2.0228415,0.6446298
33,-2.0235045,0.6934098
34,-2.08324,0.66426283
35,0.37345594,1.709259
36,-2.5782719,0.8140097
37,-2.504395,0.7489329
38,-2.2950168,0.755249
39,-0.40775633,1.7784828
40,-1.7286673,0.5948985
41,-2.3479242,0.8012872
42,-0.25207314,1.7107092
43,-1.891583,0.60952574
44,-1.8894509,0.6592564
45,-2.092637,0.6684762
46,0.43244746,1.7448038
47,-2.0093093,0.7235466
48,0.27592084,1.7636518
49,-2.1736567,0.7908215
50,-2.3939922,0.80601066
51,-0.029901922,1.8734618
52,-1.956668,0.57593226
53,0.06949568,1.8535033
54,-1.811155,0.6255238
55,-1.5703316,0.60060674
56,-2.0299134,0.6424308
57,-2.6219673,0.8926183
58,-2.2893171,0.7021261
59,-2.366775,0.8134269
60,-2.753601,0.82190645
61,-1.7362037,0.64863914
62,-1.809789,0.66617674
63,-2.009858,0.69187045
64,-1.6322615,0.53781855
65,-2.1210754,0.7710133
66,-2.3541307,0.71558386
67,-0.4010572,1.7996708
68,-1.9424658,0.5712214
69,-1.7565073,0.6526548
70,0.02569537,1.8334327
71,-1.7038468,0.5730846
72,-2.5776606,0.8477312
73,-2.0421896,0.7427343
74,0.13307521,1.65534
75,-2.2012057,0.78883505
76,-2.179056,0.71923006
77,-1.7007642,0.579337
78,-2.0356293,0.6688081
79,-1.4674667,0.5491125
80,-1.6916776,0.5468089
81,-2.1531446,0.65141046
82,-2.2478156,0.7850661
83,-1.8796102,0.63897324
84,-2.1766376,0.7272841
85,-1.9539685,0.57890886
86,-1.91949,0.73878336
87,0.2556244,1.746837
88,-1.9697177,0.6414554
89,-2.499051,0.7805357
90,-2.0554807,0.7680572
91,-0.24901015,1.5927895
92,-1.9629282,0.7190191
93,-0.027477456,1.817989
94,-1.7374752,0.6396637
95,-1.8134276,0.6472793
96,-2.0659494,0.76906425
97,0.1760982,1.7971841
98,-1.9659473,0.66553205
99,-0.1267626,1.738793
100,-2.1351824,0.7200851
101,-2.2285645,0.7801532
102,-2.2720609,0.7579055
103,-2.0203013,0.62502
104,-2.464189,0.8077212
105,-2.1442902,0.63297325
106,-1.6763054,0.61932963
107,-1.7676926,0.62225807
108,-1.8129997,0.67630774
109,-2.0917342,0.7087463
110,-2.100632,0.708645
111,0.06648437,1.6980934
112,-2.2179873,0.7643056
113,-2.5534754,0.86368585
114,-1.9656243,0.6917826
115,-0.68815196,1.8403755
116,-2.1381376,0.71591324
117,-1.8991202,0.64922017
118,-1.9140502,0.59323925
119,-1.7385112,0.60849535
120,-1.8267254,0.720319
121,-2.9414778,0.85765797
122,-2.0288296,0.70932376
123,-0.04346194,1.9467049
124,-2.3471062,0.8129126
125,-1.9910524,0.6591571
126,-1.6165915,0.56771827
127,0.2756511,1.7761039
128,-2.334186,0.7395987
129,4.423797,1.7814815
130,-1.7577991,0.6068847
131,-2.2174377,0.80066556
132,-2.295843,0.76243204
133,0.023645265,1.7175088
134,-2.146631,0.6417625
135,-2.887677,0.904718
136,0.37615734,1.7279832
137,-1.9161799,0.6930551
138,-2.5108483,0.7541634
139,-1.5494688,0.5675985
140,-2.3027232,0.7968777
141,-0.33975634,1.5701667
142,-1.6601,0.6298406
143,-1.7320354,0.623637
144,-1.7581977,0.6471739
145,-1.8760862,0.66380215
146,-0.27128342,1.8360388
147,-1.9686172,0.6308767
148,-2.3976746,0.72838265
149,-2.6024127,0.76993626
150,-0.535906,1.9939924
151,-2.6447923,0.8001967
152,-1.7527645,0.58790064
153,0.252552,1.767974
154,-1.431826,0.5489902
155,-1.9851542,0.70881253
156,-1.7650177,0.60936093
157,-2.0172603,0.6747033
158,0.00067329087,1.6399143
159,-2.0982664,0.76256454
160,-2.2834659,0.7342456
161,-2.020975,0.63810045
162,-2.0410757,0.69662
163,-1.9152517,0.6421983
164,0.10546836,1.7722166
165,-1.9443147,0.7046697
166,-1.5397475,0.5709032
167,-1.7885257,0.67814255
168,-1.577175,0.5904891
169,0.61509496,1.9156721
170,-2.4222367,0.8369326
171,-1.7191548,0.5818219
172,0.18663587,1.8505629
173,0.8819526,1.7744483
174,-1.9203041,0.7112362
175,0.7104039,1.9007988
176,-1.885634,0.68716747
177,-0.07062764,1.6853688
178,-1.9925175,0.65141463
179,-1.761505,0.6630875
180,-2.1475859,0.6458758
181,-2.376665,0.7362104
182,-2.1915133,0.76628745
183,0.55923975,2.0904508
184,-2.1583788,0.6795613
185,-0.44996327,1.8180791
186,-0.40978855,1.6220353
187,0.40432665,1.8279759
188,-1.9992193,0.6271323
189,-2.0370235,0.74117273
190,-1.9784042,0.5969211
191,-0.36184698,1.6634475
192,0.0988502,1.8155543
193,-2.1049633,0.6226268
194,-1.784845,0.6694828
195,-1.9455128,0.6344686
196,-2.196827,0.6366149
197,-1.784341,0.641612
198,0.23568147,1.8134316
199,0.38362718,1.600732
200,-2.1960788,0.77063686
201,0.41057906,1.855245
202,-2.4121418,0.73532265
203,0.016486323,1.603027
204,0.13064687,1.7514564
205,-1.634974,0.5941263
206,-1.7165452,0.60553974
207,-2.1039577,0.6836946
208,-2.497897,0.80235547
209,-0.041468088,1.7098912
210,-1.7632033,0.6177035
211,-0.35301995,1.5962353
212,-1.949968,0.63101
213,-1.8138602,0.61119336
214,-1.541536,0.6212357
215,-2.2000494,0.7388062
216,-1.7105314,0.58674985
217,-1.7214146,0.6068592
218,0.18854645,1.8061805
219,-2.3867073,0.6955668
220,-2.5891633,0.7910837
221,-0.42486736,1.697661
222,0.28336278,1.9286262
223,-0.5275281,1.6896629
224,0.45522317,1.8507537
225,-2.1137774,0.7253576
226,-0.114471905,1.8238591
227,-1.7705654,0.7238783
228,-2.531658,0.7504313
229,-1.5235322,0.57749724
230,-1.9908472,0.66999
231,-2.7704656,0.85822827
232,0.14560077,1.9520237
233,-2.2458434,0.8077876
234,-2.2326446,0.67318416
235,-1.9852821,0.6757121
236,-2.0277026,0.66991985
237,-1.6739877,0.55616325
238,-2.296747,0.74341846
239,-2.0125935,0.7659915
240,-2.361306,0.7986709
241,-2.5650501,0.8307683
242,-2.2060173,0.76434124
243,0.21547008,1.668338
244,0.015619284,1.9125552
245,-1.855837,0.7207213
246,-2.0015078,0.73327196
247,-1.4663005,0.5341279
248,-1.8349762,0.57864416
249,-1.6624432,0.6323752
250,-2.003697,0.6729114
251,-2.1807039,0.8108676
252,-1.9650295,0.64089733
253,-2.3800828,0.67305183
254,-2.1105504,0.7741143
255,-2.0890913,0.6762589
256,-2.3262444,0.78891045
257,-1.7131635,0.6237545
258,-0.5719246,1.7913293
259,0.4103913,1.7973105
260,-1.9678683,0.7264807
261,-1.8154678,0.7083499
262,-1.6423435,0.5551056
263,-2.0084574,0.6734139
264,-2.3984969,0.7340081
265,-1.7673444,0.65479845
266,-2.092992,0.6160642
267,-1.6223117,0.58283865
268,-2.4722736,0.8077556
269,-0.26945743,1.7250245
270,-2.2362044,0.78198653
271,-2.0063288,0.60034716
272,-1.5961988,0.6015326
273,-2.6163032,0.8221924
274,-1.744316,0.5984422
275,-0.200828,1.544328
276,-0.3646376,1.6741583
277,-2.0599911,0.76227874
278,-2.4020445,0.8352573
279,-2.2726634,1.4806222
280,-2.3320532,0.6964675
281,-0.18316007,1.7719417
282,-1.5745915,0.5972374
283,-2.1465178,0.7036873
284,-1.6952709,0.6388401
285,-2.1439207,0.70034033
286,-1.8821437,0.66282225
287,-1.954439,0.7575196
288,-0.27548692,1.7619162
289,-1.8719239,0.5890936
290,-1.8889105,0.5891811
291,-2.2923396,0.77534467
