index,cohen_d
3035,-1.6333892586031369
3514,-1.352243380435981
2996,-1.2929475490669355
1323,-1.110236313055995
1401,-0.999558129211108
3381,-0.9575505066146832
1944,-0.9474775558201876
2372,-0.9304795466272272
1898,-0.9293051002831648
2934,-0.875202181616981
3337,-0.7839703435936655
2299,-0.7697740063458475
3272,-0.7621608060081878
2491,-0.6444820738646166
2045,-0.5857914787913535
3640,-0.5698273616358183
3188,-0.560025613644858
2358,-0.5456488564396967
1365,-0.4975461120354609
1520,-0.4629370362816914
3504,-0.3613704459422167
1194,-0.3595618184523935
1607,-0.3495286088444853
2590,-0.3447346684816129
3323,-0.3416601404147869
1516,-0.3032396489932296
3168,-0.2895347968949135
942,-0.2880860260979422
2784,-0.2790101074689487
2391,-0.2464883270047077
1738,-0.2046755293049878
3931,-0.2020423669874934
1055,-0.1940132699566428
502,-0.1902080667665693
2400,-0.1804592069963309
3416,-0.1722622917963123
2430,-0.1584755956460053
798,-0.0817483655463047
797,-0.0751965178053783
1427,-0.0632506439763766
1310,-0.0281597453260579
672,-0.0044603079708658
2376,-5.6347768826658725e-06
