,mean,std
0,-1.4921008,0.5567659
1,-0.7610822,0.46617568
2,-2.3209176,0.6212436
3,-1.3182007,0.5775976
4,-1.6079435,0.5894132
5,-1.2386823,0.4999921
6,-1.770545,0.5497059
7,-2.3676531,1.1085888
8,-1.2763907,0.948165
9,-1.1054211,0.69078976
10,-2.0479596,0.47419828
11,-0.12948872,0.41807282
12,-0.6333411,0.48902652
13,-0.6996066,0.6498137
14,-1.009527,0.5173069
15,-0.32324365,0.51344395
16,-1.6852376,0.6797248
17,-1.0917577,0.61750454
18,-0.7694062,0.5638135
19,-0.774077,0.5046412
20,-0.31178868,0.5038275
21,-1.9575709,0.57425576
22,-1.158104,0.5473633
23,-2.4145436,0.6528136
24,-0.84117526,0.5700095
25,-0.50874776,0.6135098
26,-1.4008604,0.5883927
27,-2.4946811,0.5889423
28,-0.24703114,0.4892252
29,-0.84364,0.7287585
30,-0.36050215,0.56153566
31,-0.47295588,0.46165398
32,-0.6774026,0.46554416
33,-1.8254548,0.6121441
34,-1.3663042,0.7193929
35,-1.4538144,0.48819965
36,-1.2764715,0.49624148
37,-0.7159629,0.570831
38,-2.0996957,0.54525495
39,-0.52159333,0.6175723
40,-1.2404677,0.74523926
41,-1.2534008,0.5095561
42,-1.1722322,0.60166323
43,-1.0922368,0.72136545
44,-0.4504247,0.5043067
45,-2.301513,0.7456852
46,-1.3144176,0.5428591
47,-0.7615418,0.64781296
48,-1.5802534,0.736927
49,-0.42641896,0.4448916
50,-1.6553069,0.76669335
51,-0.543445,0.62994206
52,-1.8953934,0.4601771
53,-1.1925718,0.57570654
54,-1.4771312,0.8199565
55,-1.3796334,0.5161923
56,-1.5421565,0.49670154
57,-1.3113184,0.63489616
58,-0.96829987,0.82741785
59,-0.41923875,0.4769819
60,-0.56287867,0.49981973
61,-2.2520962,0.64559656
62,-0.9415361,0.49910542
63,-1.5184741,0.6422349
64,-1.5614778,0.59340477
65,-1.7099005,0.6155762
66,-2.2898924,0.8691589
67,-0.6564752,0.57451314
68,-0.7414695,0.7182897
69,-1.8205698,0.5277752
70,-0.43363705,0.60355675
71,-1.5792015,0.61249155
72,-0.8672958,0.5246374
73,-1.5887718,0.6525691
74,-1.722202,0.6801278
75,-1.0646006,0.579391
76,-0.81276166,0.56556726
77,-1.2053052,0.50654626
78,-0.690598,0.49666193
79,-1.2111776,0.5195767
80,-1.8566602,0.57219625
81,-1.2167256,0.63810164
82,-0.3871225,0.53398234
83,-1.3442264,0.6253397
84,-2.513068,0.70458424
85,-1.7498564,0.75945634
86,-1.2839521,0.5992984
87,-2.484946,0.75474185
88,-1.015872,0.52265203
89,-1.443642,0.5038039
90,-0.5463316,0.47487345
91,-1.0479001,0.52180713
92,-2.1409504,0.6277717
93,-1.1436838,0.5739732
94,-0.4236553,0.3984884
95,-0.534625,0.4870133
96,-1.171149,0.572708
97,-0.5604061,0.70617956
98,-1.2988136,0.55757934
99,-0.27907428,0.42500398
100,-0.4759733,0.49376652
101,-0.5508054,0.48649618
102,-0.5585684,0.546708
103,-0.48258978,0.49702156
104,-1.0203425,0.7458216
105,-1.122273,0.52873164
106,-1.3051095,0.5860043
107,-0.40119553,0.52826697
108,-0.9570004,0.55376554
109,-1.3724518,0.56274813
110,-0.45448592,0.42540506
111,-1.7077814,0.69471717
112,-2.093119,0.6341095
113,-1.0234493,0.62685794
114,-0.7366502,0.53096986
115,-0.80932873,0.60473
116,-2.0055337,0.64326406
117,-0.838868,0.65744895
118,-1.2270379,0.5568771
