,mean,std
0,-0.81881034,0.7719361
1,-0.98701245,0.6689999
2,-1.8232441,0.82993126
3,-0.80876786,0.663206
4,-2.3298266,0.71244675
5,-1.620831,0.7294315
6,-0.40282333,0.6908441
7,-2.5792017,0.94693476
8,-1.4413533,0.8314415
9,-1.0542341,0.7565137
10,-1.2144796,0.7488311
11,-1.4366962,0.5851463
12,-1.1937166,0.6469544
13,-1.5252738,0.732352
14,-0.8091166,0.65914637
15,-1.2907552,0.68152094
16,-0.71881616,0.78893596
17,-1.9156799,0.75584763
18,-1.0434846,0.7213446
19,-0.8705435,0.65103096
20,-1.1839174,0.69690806
21,-0.62288076,0.8181991
22,-0.6174276,0.68872625
23,-1.8165196,0.8161255
24,-1.1881381,0.70108926
25,-1.3593373,0.7282274
26,-2.3727705,0.8956694
27,-1.4428442,0.83222467
28,-1.1888047,0.67332095
29,-0.99617654,0.7871601
30,-1.8118236,0.64810586
31,-0.70212656,0.60634595
32,-1.0350233,0.6874545
33,-0.70146567,0.71865565
34,-0.8814811,0.7780374
35,-0.7361656,0.6741434
36,-1.3439893,0.6741713
37,-1.0278485,0.69822794
38,-1.3008865,0.7444837
39,-1.1376749,0.7047891
40,-1.2808456,0.80030483
41,-1.293307,0.6907207
42,-0.75086355,0.738716
43,-0.98587584,0.80560094
44,-1.3370951,0.6762073
45,-2.0423837,0.83979857
46,-1.7388464,0.82348895
47,-1.8046365,0.86584383
48,-2.2809317,0.8267543
49,-0.9514234,0.6381789
50,-1.4061624,0.77752894
51,-1.2690445,0.6744785
52,-0.541057,0.7471384
53,-0.7402603,0.76458615
54,-1.2408726,0.8407778
55,-2.2064824,0.81267554
56,-0.65166223,0.673813
57,-2.6007526,0.95820934
58,-1.8243448,0.82989395
59,-1.1528724,0.6709955
60,-0.9178275,0.66265774
61,-0.987317,0.7610084
62,-0.75768244,0.66994834
63,-1.8481907,0.8399455
64,-1.8337122,0.8357192
65,-1.0988406,0.7722017
66,-2.5942538,0.9904826
67,-1.1477475,0.6970887
68,-1.1080322,0.7405471
69,-1.4540324,0.77139145
70,-1.4268881,0.71919024
71,-1.5394924,0.8197308
72,-1.4225664,0.69901323
73,-0.6058263,0.77523553
74,-2.4226933,0.88517165
75,-2.346633,0.7265069
76,-0.7685311,0.7631625
77,-1.0328032,0.7620708
78,-1.0225077,0.719894
79,-1.1111186,0.7043511
80,-2.0991268,0.83837193
81,-1.0501803,0.7130672
82,-1.191495,0.6923075
83,-2.213985,0.8077716
84,-1.2976669,0.8654085
85,-0.886452,0.7355992
86,-1.259705,0.8319017
87,-2.405822,0.9414401
88,-1.0347835,0.7670322
89,-1.2135129,0.6953039
90,-1.0118291,0.656104
91,-1.4058797,0.7663353
92,-2.3840184,0.98051286
93,-0.82082325,0.6910272
94,-0.7119312,0.61074686
95,-1.1123114,0.6507872
96,-2.1151295,0.8313133
97,-1.4917102,0.800299
98,-1.1645368,0.73803717
99,-1.3026528,0.6658297
100,-1.1836193,0.6538601
101,-0.8359665,0.697925
102,-0.9988818,0.7266273
103,-0.68127954,0.6288867
104,-1.7909143,0.69822675
105,-1.2355673,0.7404149
106,-1.6706394,0.7844393
107,-1.4337661,0.66418374
108,-0.8118892,0.66683793
109,-1.231745,0.84699917
110,-1.2245162,0.692289
111,-1.5040916,0.7838058
112,-0.8801053,0.73279613
113,-0.993171,0.6939795
114,-0.9055209,0.64934194
115,-1.3030556,0.7296627
116,-1.670165,0.80623806
117,-1.5570427,0.73798186
118,-1.2503388,0.7121423
119,-1.6659577,0.66757023
120,-0.59598416,0.7026075
121,-1.0931162,0.72915524
122,-1.0631342,0.7213996
123,-0.5955444,0.6648957
124,-2.4357717,0.8403866
125,-0.8345158,0.75118285
126,-0.7998793,0.71127903
127,-1.5292368,0.7122837
128,-1.814387,0.69026375
129,-0.46491084,0.6873767
130,-1.046174,0.63783526
131,-2.090521,0.88994503
132,-1.4662839,0.7171711
133,-1.0859578,0.80772495
134,-0.5443606,0.6004168
135,-0.85752493,0.76677704
136,-1.327732,0.78045726
137,-0.9394415,0.72805274
138,-1.996873,0.8197838
139,-1.2476394,0.75412345
140,-0.6987625,0.6517857
141,-1.9886943,0.745447
142,-1.1784648,0.75299585
143,-1.20464,0.8076344
144,-0.9552895,0.6884682
145,-1.7687362,0.78436047
146,-0.7650723,0.6589256
147,-0.5107573,0.72400886
148,-0.62610674,0.6809471
149,-0.6777839,0.5905657
150,-1.6176001,0.8478408
151,-1.1600426,0.7289488
152,-1.3166733,0.84937805
153,-0.74267405,0.6423545
154,-0.49085072,0.71273905
155,-0.84363586,0.69362575
156,-1.5565343,0.8249114
157,-1.8803647,0.7296898
158,-1.3650349,0.7449029
159,-0.89207464,0.7455573
160,-0.7942862,0.7415558
161,-1.6397105,0.79783595
162,-1.1333241,0.65219337
163,-0.9522278,0.7137947
164,-0.9485525,0.66952384
165,-1.2191942,0.7474085
166,-1.0796679,0.7067779
167,-0.7434566,0.6403114
168,-2.7415109,0.96884626
169,-1.2905012,0.66872925
170,-1.1644281,0.72414804
171,-0.58192414,0.7016985
172,-0.9138283,0.7482042
173,-1.0258626,0.7269188
174,-0.5193035,0.6614073
175,-2.4993277,0.91020876
176,-1.368698,0.87504697
177,-1.8035142,0.76937646
178,-1.1692089,0.7529716
179,-0.82026523,0.7201714
180,-0.5574388,0.6970023
181,-0.76285464,0.7607964
182,-0.7850686,0.75342554
183,-0.97744465,0.68497527
184,-1.0401748,0.7625614
185,-3.0359106,1.0333976
186,-0.89802575,0.6573179
187,-0.682775,0.71161324
188,-0.9372493,0.6925962
189,-1.0726727,0.63839865
190,-0.9274085,0.774261
191,-1.639097,0.79137415
192,-1.4181736,0.7679603
193,-0.7760512,0.7497562
194,-1.0407165,0.654135
195,-1.3605969,0.8503686
196,-1.5767025,0.845173
197,-1.7388058,0.7088972
198,-1.0196136,0.6705126
199,-1.4787871,0.7706684
200,-2.1038442,0.7459399
201,-1.0712587,0.7986845
202,-1.1690727,0.70569915
203,-1.9580328,0.8311645
204,-0.58078,0.7770077
205,-0.789225,0.7157904
206,-1.3564792,0.7399765
207,-0.74687064,0.63556075
208,-0.6102601,0.7330225
209,-0.8870174,0.73490113
210,-0.6367779,0.6706269
211,-1.38848,0.65544784
212,-1.2272027,0.67052424
213,-1.188092,0.73059654
214,-0.40591025,0.78302264
215,-1.300117,0.7167527
216,-1.3509587,0.7451777
217,-0.654319,0.66455036
218,-1.1993994,0.75066066
219,-1.4866271,0.7526502
220,-1.4258416,0.6744129
221,-1.4280193,0.78068364
222,-1.5659391,0.7852764
223,-0.8753306,0.69956684
224,-0.7217744,0.78672075
225,-0.67876405,0.6553442
226,-2.5400789,0.75559163
227,-0.8755113,0.65179914
228,-2.5854754,0.99088806
229,-1.1338562,0.7200521
230,-1.1038263,0.7463066
231,-1.6410464,0.7628079
232,-1.3734102,0.75253093
233,-1.0660877,0.82425416
234,-1.3111546,0.73015374
235,-1.2603261,0.74862164
236,-0.94507927,0.75957793
237,-1.3313596,0.65589917
238,-1.3090973,0.7770631
239,-2.8336792,1.0269905
240,-1.4730673,0.77857906
241,-1.7522244,0.8297127
242,-0.69322276,0.73276865
243,-0.48583445,0.7708791
244,-2.87426,0.8337001
245,-1.1396883,0.67618084
246,-3.368886,1.0069953
247,-3.114551,0.861419
248,-1.0354159,0.7733936
249,-0.74563825,0.63816714
250,-0.6928819,0.6335351
251,-2.037833,0.7198591
252,-1.322459,0.7702637
253,-2.1597753,0.8296624
254,-0.8154139,0.7759414
255,-0.8348027,0.7278306
256,-1.2284647,0.71801
257,-1.3958352,0.7250107
258,-0.7611511,0.6781847
259,-0.8190539,0.68837243
260,-3.033029,0.943617
261,-0.93356526,0.74259716
262,-1.3786665,0.70120907
263,-0.8730564,0.8363472
264,-1.012827,0.8020317
265,-0.96830034,0.74109024
266,-0.59672046,0.6574555
267,-1.3551711,0.6622578
268,-1.1754079,0.6375172
269,-1.259507,0.77600056
270,-0.86649495,0.65242904
271,-1.9472287,0.8298309
272,-1.0677017,0.6643517
273,-1.0334673,0.7756141
274,-1.704169,0.7755785
275,-3.2415466,1.0330595
276,-1.466782,0.75977206
277,-1.3170366,0.6650208
278,-0.74301404,0.75066835
279,-4.046334,1.0678341
280,-2.5266235,0.780842
281,-0.8547329,0.72775996
282,-1.7490942,0.8237207
283,-3.0951355,0.94731766
284,-1.5621703,0.7457859
285,-1.2921324,0.6810174
286,-2.039453,0.75892574
287,-1.1977576,0.8053021
288,-1.4009472,0.81229806
289,-1.7286129,0.8015181
290,-1.1409053,0.6612145
291,-1.1726339,0.70696294
292,-0.6954898,0.6999112
293,-1.6126152,0.70694184
294,-2.166005,0.6334371
295,-0.6219359,0.71845376
296,-1.5989995,0.7315813
297,-0.70924056,0.68156666
298,-1.0576178,0.7644397
299,-1.1552572,0.78408086
300,-0.6630823,0.68270105
301,-1.371928,0.67532057
302,-1.0857688,0.8454604
303,-1.2092505,0.7175009
304,-1.2264671,0.74060124
305,-1.7381481,0.69964534
306,-1.0754223,0.67797744
307,-1.6386561,0.78214383
308,-0.7663012,0.71684813
309,-0.6239431,0.70242953
310,-1.0643847,0.28214294
311,-0.96202147,0.71958894
312,-1.006152,0.7821083
313,-1.3923835,0.754212
314,-1.7552636,0.94689083
315,-0.706523,0.68711984
316,-1.8392162,0.8077692
317,-1.0168077,0.76949656
318,-1.2576452,0.7375966
319,-3.0601957,0.9523913
320,-0.8316827,0.7219899
321,-2.429763,0.5188107
322,-0.823033,0.78016186
323,-0.7492664,0.7335255
324,-1.2419825,0.7205135
325,-0.847272,0.68110377
326,-0.40460578,0.79339147
327,-1.6797318,0.6993795
328,-0.45711198,0.6330947
329,-0.96944594,0.69558775
330,-3.0063033,0.96554035
331,-2.053407,0.72449505
332,-0.9666078,0.69841677
333,-1.7389902,0.87772644
334,-2.616922,0.9641675
335,-1.5504439,0.76290673
336,-1.3044028,0.7593211
337,-1.7209896,0.8054718
338,-0.54213023,0.6555429
339,-2.0278354,0.6522264
340,-1.208211,0.748382
