item_id:token,name:token_seq
2035,Megadeth
18007,Lil Wayne
219,Foo Fighters
1486,Porcupine Tree
32498,No-Man
6969,Airbag
2166,Dream Theater
2336,Amon Amarth
18646,Coma
2901,Orchestral Manoeuvres in the Dark
5408,a-ha
2194,Alter Bridge
2207,Limp Bizkit
2256,3 Inches of Blood
46318,Kabanos
524,David Bowie
45263,Hey
389,Faith No More
5077,Riverside
19553,Blackfield
2109,Anastacia
35792,Closterkeller
31545,Rootwater
19904,Pure Reason Revolution
2019,God Is An Astronaut
59672,The Bill
1782,Red Hot Chili Peppers
3275,Avril Lavigne
1166,Rage Against the Machine
69,Steven Wilson
6279,Stevie Ray Vaughan
476,The xx
3227,Arch Enemy
2363,Enslaved
27144,Virgin Snatch
2410,Machine Head
6254,Ozzy Osbourne
5205,Kreator
50283,PidÅ¼ama Porno
2332,Wintersun
115546,Iluzjon
16501,Budgie
2040,Slayer
11622,Hurts
234,The Kooks
1011,Coldplay
45,TesseracT
1893,Enigma
4854,Take That
2950,Lamb of God
4882,Judas Priest
3906,Kevin Ayers
1884,Pink Floyd
2048,Metallica
9,Pantera
1170,Fall Out Boy
19532,Lunatic Soul
3218,Children of Bodom
5224,Exodus
5524,Rick Ross
1430,Frank Zappa
30989,Illusion
3917,Deep Purple
40403,Nine Lashes
2216,Eagles
94,Anathema
38729,Indukti
2936,Korpiklaani
28032,Kobong
29,Opeth
13677,John Petrucci
2165,Joe Satriani
1673,Genesis
1442,Van Halen
6258,Stevie Ray Vaughan and Double Trouble
17859,Gazpacho
985,Oasis
54794,Abigail's Ghost
33718,Quidam
21034,Myslovitz
60790,Wooh Da Kid
4401,Roxette
3021,Black Sabbath
228,The Hives
21547,Disperse
20108,The Pineapple Thief
1250,Killswitch Engage
91229,Ananke
35788,Foghat
8027,Dio
3216,Alice in Chains
26752,Dokken
3035,AWOLNATION
1996,Dethklok
3913,Rainbow
1047,The Heavy
144,The Black Keys
16801,Ray Wilson
29825,ÐÑÐ°Ð²Ñ
47441,Believe
71768,Ronnie James Dio & Yngwie Malmsteen
17234,Amaranthe
2969,Avenged Sevenfold
9402,Annihilator
4863,Warren G
41665,Demians
98202,Maqama
10432,Dope
4396,Gamma Ray
3298,Bastille
1750,Sum 41
2657,Tenacious D
6789,School of Rock
8542,Aeon
50967,Abraxas
3900,Foreigner
1672,Fish
1674,Marillion
39925,John Frusciante and Josh Klinghoffer
7166,Diamond Head
6868,Misery Index
2688,50 Cent
16390,Municipal Waste
1466,Tool
10386,Yngwie Malmsteen
1734,Electric Light Orchestra
1658,The White Stripes
21634,Racer X
49709,BodyRockers
288,Nirvana
46327,Strachy Na Lachy
482,Lady Gaga
5238,Kalmah
111,Eminem
2172,Queen
2690,The Offspring
303,Enrique Iglesias
