,cohen_d
0,-3.5691321510264022
1,-4.566837933812772
2,-3.1271336198481037
3,-3.2325907677671557
4,-4.640764027255351
5,-2.3452852891354485
6,-2.9292292447152195
7,-1.6559401673335061
8,-3.91338818245282
9,-2.620673420683154
10,-3.883915078502267
11,-4.653273942214741
12,0.41842951076334745
13,-1.9269846312431507
14,-2.871282483208395
15,-5.245474441739186
16,-2.411147885915712
17,-0.8338007276456395
18,-3.223354693770688
19,-4.056332217081789
20,-3.623925115423624
21,-5.169708611861209
22,-3.210901125940155
23,-3.6001824173672854
24,-3.0222431621766637
25,-2.0358453013229836
26,-2.697416766081793
27,-0.46289399371924406
28,-3.7917748705195042
29,-4.013397196864241
30,-3.6855731566527807
31,-2.3150379078362664
32,-2.091838642864744
33,-5.180539231269031
34,-4.782171366323541
35,-2.7791948623220635
36,-5.99178687441923
37,-0.6143978168836824
38,-4.044341564904322
39,-2.980104778731814
40,-2.6408240743339992
41,-4.243218174277137
42,-2.606869379309763
43,-3.836408695295742
44,-4.030944432894321
45,-4.43116232381635
46,-3.377589174677852
47,-4.953076319037083
48,-0.17206088300631062
49,-4.5615917554118965
50,-1.3110368610866907
51,-2.4299543336593286
52,-3.0506219575870976
53,-2.439396893878956
54,-3.091504859469988
55,-4.586689853037546
56,-4.514579575084501
57,-2.769985086177162
58,-3.2455169023880526
59,-2.955150818530053
60,-4.434693275690998
61,-3.664417523960549
62,-2.5520028361451192
63,-2.300969030269443
64,-2.807271942378396
65,-2.17048656075446
66,-2.3129191425312183
67,-1.063349944661029
68,-1.7359529044956827
69,-1.4161056951326076
70,-3.2187471926405404
71,-2.6319504478088627
72,-3.80327445385915
73,-2.5892319115062747
74,-2.1831371599501375
75,-3.511108473241272
76,-5.328722942121117
77,-4.270829547774738
78,0.22824621691190644
79,-4.258867838103863
80,-3.6049974516777787
81,-6.026073569248451
82,-3.914584474942982
83,-1.6434630815481195
84,-3.5565154752037733
85,-3.2007844103502228
86,-4.780735270410638
87,-2.382852156721066
88,-4.235819685399945
89,-1.3815435212264187
90,-3.4960421663305095
91,-2.0593319669300847
92,-5.365496058666799
93,-3.1043336000363806
94,-3.9843873943191013
95,-4.3695690031649415
96,-4.619599103790139
97,-1.909806254986036
98,-4.697453430823496
99,-4.791946046957021
100,-0.6849190241560629
101,-1.3444098160337397
102,-4.357667916730079
103,-4.021760792938522
104,-3.3660259866514823
105,-2.830099579745567
106,-3.0557876844414364
107,-4.22953672840672
108,-2.1384552345288803
109,-3.1529373825442946
110,-4.603998668539288
111,-2.591259648386281
112,-4.285357204816091
113,-4.2205568210105255
114,-4.346926365391381
115,-4.936263002106418
116,-4.676502586630921
117,-4.846609551659945
118,-4.105440451037484
119,-2.452913953667041
120,0.6603963854332489
121,-3.8608866788490506
122,-4.559765099465315
123,-3.802049249348242
124,-2.5770568744565976
125,-2.8238232564757424
126,-2.792955921170043
127,-3.3074348102245956
128,-2.5565292809462057
129,-3.3276739665681627
130,-2.7255758128789362
131,-3.672088171460173
132,-4.219745416566607
133,-5.00082180104201
134,-3.2010705583626833
135,-2.372331114024814
136,-3.8834011201228242
137,-0.8265814640634804
138,-2.6610945019859877
139,-3.9581792475221085
140,-2.293553189436589
141,-3.087457853411714
142,0.3865164370241903
143,-3.9971875004383217
144,-0.31410308798419373
145,-3.0620973872599015
146,-2.6053068548832194
147,-3.669699346737435
148,-2.487000789837135
149,-3.3732426077620796
150,-0.3648460271381678
151,-4.2509789670344675
152,-4.081906333882753
153,-3.250219520690802
154,-3.3401684499331803
155,-1.644208384155811
156,-3.9717160360827686
157,0.37377308279606375
158,-4.612365454528622
159,-3.509050903758962
160,-4.579432746749793
161,-3.196376713711755
162,-2.423266035567714
163,-5.167423084706241
164,-3.6245675705178275
165,-3.09256059089288
166,-3.818071026832399
167,-2.6548514526095444
168,-3.6724139806363
169,-1.8106957319612655
170,-4.7900890482828995
171,-3.021945214658465
172,-3.427284992558785
173,-1.445412960006248
174,-3.1213198684443246
175,-2.1292048629406612
176,-3.0113051391010823
177,-5.531000676255554
178,-3.74650128836069
179,-4.9285904563175045
180,-1.9861608934507307
181,-4.5199404822906235
182,-3.9699063745216234
183,-3.733761188043207
184,-3.0881986187039305
185,-3.109417770486719
186,2.0661622969870024
187,-3.843256588275557
188,-1.3147354420761739
189,-3.0998885722203693
190,-3.217325129118201
191,-4.959720658758641
192,-3.331268206864001
193,-2.9817647933504206
194,-1.3926442249903952
195,-5.749609750317963
196,0.20750823824489328
197,-4.380557027501442
198,-3.1582312339229337
199,-3.721481709598947
200,-1.1905934264939317
201,-4.044584845007786
202,-1.1013294791911958
203,-3.223102269070041
204,-1.4549691693491111
205,-3.01121528546253
206,-4.161088347226028
207,-2.785493921713024
208,-2.8939144617837256
209,-3.1601836296783774
210,-3.725337835937303
211,-2.541573089664433
212,-3.4075264228015585
213,-2.83430728355968
214,-2.4000109390055044
215,-2.5416955449126264
216,-2.0932244403512117
217,-2.6014819772412263
218,-1.0960726499454345
219,-3.5544204001172885
220,-3.279341500337277
221,-5.135954233035027
222,-3.605441203646089
223,-3.4404802119096183
224,-3.3109143237577796
225,-3.427352393069377
226,-3.4479493742102756
227,-1.100675204022028
228,-2.744831953240768
229,-4.141109708274385
230,-1.333929714748062
231,-2.6239285954378206
232,-2.7852405762906796
233,-3.1138437436990696
234,-2.9889728434767435
235,-1.9708707511277634
236,-2.8643926458158147
237,-4.3194412988248905
238,-0.27153019551053975
239,-2.3013991679863475
240,-2.578509570540522
241,-3.2146004533081265
242,-0.685468208474122
243,-6.3140098863345
244,-2.969491992289041
245,-3.169120758217199
246,-1.9808936997951057
247,-3.056150894007415
248,-2.593569599722304
249,-4.729361528472725
250,-2.4105710112522147
251,0.8960357953415062
252,-3.3015957051800204
253,-4.013299937286903
254,-4.723925328440067
255,-1.1832696590551544
256,1.5712160968358306
257,-5.154624471353469
258,-2.2310068639643568
259,-1.8604673899628765
260,-3.300524060220212
261,-3.589446768295982
262,-3.29661332719411
263,-5.591694864090498
264,-3.6864818608743777
265,-3.6206119506118437
