item_id:token,movie_title:token_seq,release_year:token,genre:token_seq,interaction_count,pop_score,popularity_label
105,American Beauty,1999,Comedy Drama,3376,0.0034396647549493576,1
125,Star Wars: Episode V - The Empire Strikes Back,1980,Action Adventure Drama Sci-Fi War,2859,0.002912915146445561,1
45,Star Wars: Episode IV - A New Hope,1977,Action Adventure Fantasy Sci-Fi,2849,0.0029027265660102842,1
65,Star Wars: Episode VI - Return of the Jedi,1983,Action Adventure Romance Sci-Fi War,2703,0.002753973291655247,1
98,Terminator 2: Judgment Day,1991,Action Sci-Fi Thriller,2613,0.002662276067737758,1
49,Saving Private Ryan,1998,Action Drama War,2589,0.0026378234746930944,1
133,"Matrix, The",1999,Action Sci-Fi Thriller,2562,0.002610314307517848,1
114,Jurassic Park,1993,Action Adventure Sci-Fi,2559,0.002607257733387265,1
190,Men in Black,1997,Action Adventure Comedy Sci-Fi,2502,0.0025491828249061886,1
52,Fargo,1996,Crime Drama Thriller,2480,0.0025267679479485804,1
129,"Silence of the Lambs, The",1991,Drama Thriller,2417,0.0024625798912063382,1
39,"Sixth Sense, The",1999,Thriller,2400,0.002445259304466368,1
23,Back to the Future,1985,Comedy Sci-Fi,2400,0.002445259304466368,1
128,Raiders of the Lost Ark,1981,Action Adventure,2380,0.002424882143595815,1
93,Braveheart,1995,Action Drama War,2367,0.0024116369890299556,1
135,Shakespeare in Love,1998,Comedy Romance,2324,0.002367826093158266,1
117,Groundhog Day,1993,Comedy Romance,2247,0.002289374023806637,1
24,Schindler's List,1993,Drama War,2241,0.0022832608755454713,1
6,"Princess Bride, The",1987,Action Adventure Comedy Romance,2221,0.002262883714674918,1
185,Being John Malkovich,1999,Comedy,2215,0.0022567705664137522,1
27,E.T. the Extra-Terrestrial,1982,Children's Drama Fantasy Sci-Fi,2198,0.002239449979673782,1
168,"Shawshank Redemption, The",1994,Drama,2194,0.0022353745474996715,1
247,L.A. Confidential,1997,Crime Film-Noir Mystery Thriller,2162,0.0022027710901067867,1
274,Ghostbusters,1984,Comedy Horror,2161,0.0022017522320632588,1
670,"Godfather, The",1972,Action Crime Drama,2143,0.002183412787279761,1
245,Pulp Fiction,1994,Crime Drama,2138,0.0021783184970621226,1
61,Star Wars: Episode I - The Phantom Menace,1999,Action Adventure Fantasy Sci-Fi,2136,0.0021762807809750677,1
172,Forrest Gump,1994,Comedy Romance War,2087,0.0021263567368422125,1
218,"Terminator, The",1984,Action Sci-Fi Thriller,2058,0.0020968098535799106,1
41,Toy Story,1995,Animation Children's Comedy,2050,0.0020886589892316894,1
210,Alien,1979,Action Horror Sci-Fi Thriller,1995,0.0020326217968376684,1
152,"Fugitive, The",1993,Action Thriller,1972,0.0020091880618365323,1
63,Total Recall,1990,Action Adventure Sci-Fi Thriller,1971,0.002008169203793005,1
69,Gladiator,2000,Action Drama,1861,0.0018960948190049629,1
715,Aliens,1986,Action Sci-Fi Thriller War,1798,0.0018319067622627207,1
744,Blade Runner,1982,Film-Noir Sci-Fi,1767,0.0018003221629133634,1
85,Stand by Me,1986,Adventure Comedy Drama,1766,0.0017993033048698357,1
260,"Usual Suspects, The",1995,Crime Thriller,1759,0.0017921712985651422,1
382,Babe,1995,Children's Comedy Drama,1728,0.001760586699215785,1
734,Galaxy Quest,1999,Adventure Comedy Sci-Fi,1708,0.0017402095383452318,1
161,Independence Day (ID4),1996,Action Sci-Fi War,1705,0.001737152964214649,1
219,Who Framed Roger Rabbit?,1988,Adventure Animation Film-Noir,1703,0.0017351152481275935,1
278,"Abyss, The",1989,Action Adventure Sci-Fi Thriller,1701,0.0017330775320405383,1
16,Airplane!,1980,Comedy,1699,0.001731039815953483,1
10,"Wizard of Oz, The",1939,Adventure Children's Drama Musical,1693,0.0017249266676923171,1
663,2001: A Space Odyssey,1968,Drama Mystery Sci-Fi Thriller,1693,0.0017249266676923171,1
