index,cohen_d
1402,-6.586144411950121
691,-6.255587607810958
793,-5.968552064359692
831,-5.876227439959153
2795,-5.665141600727817
531,-5.434111820935393
3627,-5.371462399976227
1107,-5.369338204200221
76,-5.328722942121117
1337,-5.307649325494412
1524,-5.2742727059552585
382,-5.269787843237015
3483,-5.187481760783934
1176,-5.166929676532578
2471,-5.134320844932873
1744,-5.122698208322716
1152,-5.105653429330565
1527,-5.099699606499825
2634,-5.080802798540874
1100,-5.062682352663317
2224,-5.035301326577133
1089,-5.003340538773564
47,-4.953076319037083
1622,-4.94154636959748
416,-4.939912226977034
179,-4.9285904563175045
3568,-4.908827833111289
497,-4.889787721526775
3283,-4.875170538660655
1301,-4.861462024367133
2524,-4.848603348346462
926,-4.8429490115992815
3796,-4.801411222337802
1511,-4.801319909154248
1016,-4.791549933579439
170,-4.7900890482829
1857,-4.779618639655253
2251,-4.763833724594146
2614,-4.75265555413808
750,-4.735272735664139
254,-4.723925328440067
3410,-4.721239124389424
2947,-4.714839926757836
3881,-4.687540507376018
2235,-4.680373195274144
3298,-4.671231903115348
3698,-4.665768215499599
1745,-4.662854157019048
4037,-4.657184728449864
1817,-4.615595456325798
1705,-4.591418713111061
1,-4.566837933812772
4091,-4.564334085094514
1792,-4.563095272085009
953,-4.561666520445492
2646,-4.555969275232973
2253,-4.555448315822779
3150,-4.548712705564221
2894,-4.534478459833064
2698,-4.530883847298282
3340,-4.52761221886983
1439,-4.515596235083075
401,-4.506699818475602
867,-4.504339979813876
3821,-4.488983606791315
3787,-4.480740571656462
3552,-4.441116501229051
621,-4.436989983476915
4094,-4.41360681724101
1883,-4.396735550615839
2062,-4.395849828879779
1271,-4.394360593478394
95,-4.3695690031649415
2550,-4.363965188989192
906,-4.359658080767596
3380,-4.355352603642027
761,-4.345929397967973
3659,-4.338519718325946
1904,-4.336277807865506
3675,-4.331999175252496
406,-4.323163645617577
2121,-4.271677103221126
2335,-4.256423215323196
3574,-4.252998917995205
107,-4.22953672840672
321,-4.215730730320313
3277,-4.208898836057745
3107,-4.201444719465595
1780,-4.199895429328522
783,-4.197037554407572
1388,-4.1916029174092495
749,-4.188318093754762
4031,-4.177324790956924
1027,-4.174907362720156
2728,-4.15616331530463
902,-4.153083603045068
1395,-4.152641864286851
3220,-4.148529982625583
896,-4.146415088205999
