item_id,movie_title,release_year,genre:token_seq,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
41,Toy Story,1995,Animation Children's Comedy,False,/3Rfvhy1Nl6sSGJwyjb0QiZzZYlB.jpg,"Animation,Adventure,Family,Comedy",862,en,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",29.9534,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,1995-11-22,Toy Story,False,7.968,18752
574,Jumanji,1995,Adventure Children's Fantasy,False,/pb0FOvhen6lVcNJ7j9z61gnwvcI.jpg,"Adventure,Fantasy,Family",8844,en,Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",4.2699,/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,1995-12-15,Jumanji,False,7.235,10718
1334,Grumpier Old Men,1995,Comedy Romance,False,/nh9gYaXHTNT9yylX10L9aGqFehy.jpg,"Romance,Comedy",15602,en,Grumpier Old Men,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",1.3558,/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,1995-12-22,Grumpier Old Men,False,6.466,395
451,Waiting to Exhale,1995,Comedy Drama,False,/jZjoEKXMTDoZAGdkjhAdJaKtXSN.jpg,"Comedy,Drama,Romance",31357,en,Waiting to Exhale,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",3.0714,/qJU6rfil5xLVb5HpJsmmfeSK254.jpg,1995-12-22,Waiting to Exhale,False,6.27,172
1335,Father of the Bride Part II,1995,Comedy,False,/lEsjVrGU21BeJjF5AF9EWsihDpw.jpg,"Comedy,Family",11862,en,Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",2.0529,/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,1995-12-08,Father of the Bride Part II,False,6.2,749
256,Heat,1995,Action Crime Thriller,False,/X7zKxmyrVmYCfcyvDgVLH8iNzA.jpg,"Crime,Drama,Action",949,en,Heat,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,18.4915,/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,1995-12-15,Heat,False,7.92,7550
577,Sabrina,1995,Comedy Romance,False,/oMGV48EGhsNavC1PL8HMeWs5Udq.jpg,"Romance,Drama",11860,en,Sabrina,"Sabrina Fairchild, a chauffeur's daughter, grew up at the Long Island estate of the wealthy Larrabee family enchanted with their sparkling world of privilege and wealth, but she's especially enamored of younger son David, a charming playboy. After the once plain Sabrina returns from a sojourn in Paris transformed into a glamorous young woman, she at long last catches David's eye. In a calculated effort to manipulate David away from her and into a more financially advantageous marriage, formidable older brother Linus devises a plan to keep them apart.",3.7106,/i8PbLJDPU7vCwwscWD625oHbJy.jpg,1995-12-15,Sabrina,False,6.2,642
2161,Tom and Huck,1995,Adventure Children's,False,/jP8lHNHD89xaRPfAdyz5KEVYcSb.jpg,"Family,Action,Adventure,Drama",45325,en,Tom and Huck,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",1.3443,/bMY31ikEOIPOHqQwhPhII8UVBln.jpg,1995-12-22,Tom and Huck,False,5.3,191
2141,Sudden Death,1995,Action,False,/wPSHboBNEInknw4VnCWOD2D8qc2.jpg,"Action,Drama,Thriller,Crime",9091,en,Sudden Death,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,2.5329,/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg,1995-10-27,Sudden Death,False,5.992,741
844,GoldenEye,1995,Action Adventure Thriller,False,/vm7yMg7YiYisMSeO3mUC5NUKbSB.jpg,"Adventure,Action,Thriller",710,en,GoldenEye,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.",6.9485,/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,1995-11-16,GoldenEye,False,6.888,3989
