item_id:token,app_name:token,popularity_label,interaction_count
254,,1,78942
399,,1,42219
333,,1,33499
372,,1,27830
188,,1,26383
252,,1,26060
270,,1,25161
265,,1,23087
174,,1,22778
338,,1,22299
284,,1,22254
458,,1,22131
909,,1,20157
581,,1,19334
339,,1,18793
149,,1,17819
628,,1,16810
585,,1,16782
1878,,1,14216
1128,,1,14122
1397,,1,13979
71,,1,13701
634,,1,12706
973,,1,12437
453,,1,12016
236,,1,11994
1207,,1,10330
1250,,1,10140
687,,1,9745
172,,1,9693
639,,1,9244
35,,1,9160
1416,,1,8788
651,,1,8697
500,,1,8518
1109,,1,8481
1613,,1,8472
668,,1,8221
1284,,1,8211
2726,,1,8079
1310,,1,7814
362,,1,7777
59,,1,7749
1181,,1,7723
219,,1,7687
1163,,1,7628
992,,1,7596
2162,,1,7374
451,,1,7300
1519,,1,7153
920,,1,7088
1152,,1,7056
57,,1,7053
469,,1,7045
836,,1,7005
135,,1,6951
793,,1,6896
633,,1,6870
66,,1,6638
47,,1,6422
1633,,1,6420
169,,1,6404
679,,1,6350
140,,1,6310
1160,,1,6295
1751,,1,6236
1060,,1,6194
239,,1,6175
613,,1,6173
427,,1,6142
798,,1,6105
344,,1,6035
753,,1,6005
410,,1,5995
1626,,1,5938
211,,1,5866
459,,1,5770
629,,1,5734
802,,1,5639
658,,1,5616
1210,,1,5509
2039,,1,5506
438,,1,5403
903,,1,5368
1590,,1,5261
385,,1,5248
778,,1,5240
157,,1,5209
704,,1,5205
1624,,1,5193
4542,,1,5187
1168,,1,5179
510,,1,5161
1497,,1,5057
840,,1,5055
446,,1,5003
1215,,1,4974
898,,1,4935
6,,1,4898
456,,1,4898
2177,,1,4865
648,,1,4823
3247,,1,4782
1273,,1,4742
146,,1,4733
643,,1,4719
132,,1,4714
513,,1,4702
3619,,1,4687
734,,1,4661
1261,,1,4628
592,,1,4599
1315,,1,4587
11,,1,4581
78,,1,4580
887,,1,4572
1608,,1,4558
968,,1,4518
1387,,1,4470
2544,,1,4459
376,,1,4448
1093,,1,4379
2218,,1,4372
26,,1,4334
1456,,1,4305
784,,1,4287
1019,,1,4224
64,,1,4221
697,,1,4207
1595,,1,4186
335,,1,4153
2148,,1,4139
759,,1,4083
647,,1,4078
448,,1,4050
1185,,1,4044
707,,1,4026
1368,,1,4026
1627,,1,4007
537,,1,3990
2877,,1,3960
87,,1,3941
1262,,1,3934
2202,,1,3927
206,,1,3921
881,,1,3917
171,,1,3900
2487,,1,3873
1650,,1,3859
1110,,1,3843
2494,,1,3801
519,,1,3782
867,,1,3777
225,,1,3767
2414,,1,3752
391,,1,3750
1087,,1,3728
949,,1,3701
609,,1,3635
468,,1,3615
1485,,1,3610
1656,,1,3555
315,,1,3510
627,,1,3502
650,,1,3495
1318,,1,3490
1283,,1,3470
1041,,1,3425
466,,1,3407
1853,,1,3384
1402,,1,3351
1394,,1,3335
2077,,1,3314
1885,,1,3303
556,,1,3266
2014,,1,3261
612,,1,3236
2463,,1,3229
811,,1,3218
665,,1,3191
379,,1,3188
398,,1,3176
1588,,1,3164
838,,1,3162
2468,,1,3160
763,,1,3154
441,,1,3146
2,,1,3131
516,,1,3131
521,,1,3122
854,,1,3111
2963,,1,3109
2223,,1,3100
3403,,1,3057
359,,1,3049
1111,,1,3029
796,,1,3025
1014,,1,3017
1159,,1,3010
488,,1,3007
2442,,1,2992
1712,,1,2980
2105,,1,2965
1512,,1,2964
358,,1,2935
133,,1,2927
582,,1,2922
2220,,1,2916
2554,,1,2903
3924,,1,2873
2355,,1,2871
436,,1,2868
2015,,1,2862
1437,,1,2858
835,,1,2847
14,,1,2838
316,,1,2817
1209,,1,2804
434,,1,2801
1088,,1,2801
1660,,1,2775
1162,,1,2769
2998,,1,2769
1880,,1,2736
1499,,1,2716
2034,,1,2657
4589,,1,2656
1229,,1,2647
2370,,1,2639
2719,,1,2622
1201,,1,2613
176,,1,2606
1757,,1,2595
2799,,1,2595
1390,,1,2594
680,,1,2593
170,,1,2589
1081,,1,2556
1450,,1,2551
1038,,1,2540
221,,1,2532
2430,,1,2522
568,,1,2518
2616,,1,2513
1069,,1,2499
208,,1,2494
4527,,1,2491
3384,,1,2488
210,,1,2481
